description,salary_usd,country
"Senior 6+ years Developer, full-stack Go HTML/CSS JavaScript PowerShell AWS Google Cloud DynamoDB Elasticsearch Cape Town South Africa",91463,ZA
"Senior 10+ years Developer, front-end HTML/CSS Java JavaScript Kotlin AWS PostgreSQL Redis Hybrid Cape Town South Africa",62195,ZA
"Senior 9+ years Developer, full-stack C# HTML/CSS Java JavaScript Microsoft SQL Server Cape Town South Africa",36585,ZA
"Mid-Level 5+ years Developer, full-stack C# HTML/CSS JavaScript TypeScript Microsoft Azure Microsoft SQL Server Cape Town South Africa",29787,ZA
Other (please specify): C# PowerShell SQL VBA Microsoft Azure MSBuild Microsoft SQL Server PostgreSQL Cape Town South Africa,24396,ZA
"Junior 2+ years Developer, full-stack Bash/Shell JavaScript Ruby Cape Town South Africa",21951,ZA
Senior 10+ years Other (please specify): JavaScript Python Amazon Web Services (AWS) Microsoft SQL Server MongoDB Hybrid Cape Town South Africa,38298,ZA
"Lead 30+ years Developer, full-stack C# HTML/CSS JavaScript SQL Microsoft SQL Server Hybrid Cape Town South Africa",48000,ZA
"Lead 32+ years Developer, full-stack Remote Cape Town South Africa",47872,ZA
"Senior 6+ years Developer, full-stack C# HTML/CSS JavaScript SQL Amazon Web Services (AWS) Heroku Microsoft SQL Server PostgreSQL Remote Cape Town South Africa",46596,ZA
"Senior 8+ years Developer, full-stack JavaScript PHP SQL TypeScript Amazon Web Services (AWS) Managed Hosting MariaDB MySQL Hybrid Cape Town South Africa",25915,ZA
"Lead 20+ years Developer, full-stack Bash/Shell (all shells) HTML/CSS JavaScript PHP Amazon Web Services (AWS) Google Cloud MariaDB Microsoft SQL Server Hybrid Cape Town South Africa",39362,ZA
"Intern 0+ years Developer, front-end Go JavaScript Python MySQL Hybrid Cape Town South Africa",22683,ZA
Lead 27+ years Research & Development role Assembly Bash/Shell (all shells) C C# Amazon Web Services (AWS) Hetzner Microsoft SQL Server MySQL Hybrid Cape Town South Africa,75676,ZA
Senior 7+ years Data or business analyst HTML/CSS Python SQL Digital Ocean Microsoft SQL Server MySQL Remote Cape Town South Africa,48649,ZA
"Junior 1+ years Developer, full-stack Bash/Shell (all shells) Go HTML/CSS JavaScript Amazon Web Services (AWS) Cloudflare Dynamodb MongoDB Remote Cape Town South Africa",17514,ZA
"Architect, software or solutions Bash/Shell (all shells) Dart HTML/CSS JavaScript Amazon Web Services (AWS) Bun BigQuery Cloud Firestore Remote Cape Town South Africa",4505,ZA
"Senior 10+ years Developer, front-end Rust Scala SQL Microsoft Azure Microsoft SQL Server PostgreSQL Remote Cape Town South Africa",45638,ZA
"Developer, full-stack Bash/Shell (all shells) HTML/CSS Java Lisp Amazon Web Services (AWS) Ansible Redis Snowflake Remote Cape Town South Africa",76923,ZA
"Lead 26+ years Developer, full-stack HTML/CSS Python Ruby SQL Amazon Web Services (AWS) Microsoft SQL Server MySQL Remote Cape Town South Africa",64865,ZA
Lead 33+ years Engineering manager JavaScript Python TypeScript Amazon Web Services (AWS) MongoDB Hybrid Cape Town South Africa,71351,ZA
"Senior 10+ years Developer, full-stack Assembly Bash/Shell (all shells) C++ HTML/CSS Amazon Web Services (AWS) Digital Ocean Dynamodb Firebase Realtime Database Remote Cape Town South Africa",84324,ZA
"Mid-Level 5+ years Developer, full-stack Bash/Shell Dart HTML/CSS JavaScript Google Cloud MySQL Cape Town South Africa",16098,ZA
Data engineer Python SQL Composer Docker BigQuery DuckDB Remote Cape Town South Africa,8100,ZA
"Mid-Level 3+ years Developer, back-end C C# C++ Go Microsoft Azure Cosmos DB Microsoft SQL Server Cape Town South Africa",32055,ZA
"Junior 2+ years Developer, front-end C# HTML/CSS Java JavaScript AWS DigitalOcean Microsoft SQL Server PostgreSQL Hybrid Cape Town South Africa",25610,ZA
"Senior 7+ years Developer, full-stack C# HTML/CSS Java JavaScript Amazon Web Services (AWS) Firebase Elasticsearch EventStoreDB Remote Cape Town South Africa",6486,ZA
Mid-Level 3+ years Research & Development role Bash/Shell (all shells) C# C++ HTML/CSS Google Cloud Microsoft Azure Microsoft SQL Server MongoDB Cape Town South Africa,40426,ZA
"Mid-Level 4+ years Developer, full-stack Java SQL TypeScript PostgreSQL Remote Cape Town South Africa",26902,ZA
"Senior 6+ years Developer, back-end Python SQL PostgreSQL Hybrid Cape Town South Africa",29268,ZA
"Senior 10+ years Developer, full-stack C# Delphi HTML/CSS JavaScript Amazon Web Services (AWS) Managed Hosting Firebird Microsoft Access Remote Cape Town South Africa",64865,ZA
Senior 10+ years Designer JavaScript PHP SQL MySQL Remote Cape Town South Africa,22340,ZA
"Lead 30+ years Developer, full-stack Bash/Shell (all shells) C# HTML/CSS JavaScript Microsoft Azure MariaDB Microsoft SQL Server Hybrid Cape Town South Africa",54919,ZA
AI/ML engineer Bash/Shell (all shells) Go HTML/CSS Java Amazon Web Services (AWS) Datadog BigQuery Databricks SQL Remote Cape Town South Africa,104396,ZA
AI/ML engineer Assembly Bash/Shell (all shells) C C++ Amazon Web Services (AWS) Cargo Cloud Firestore Elasticsearch Remote Cape Town South Africa,76923,ZA
Senior 6+ years Blockchain Bash/Shell (all shells) Go JavaScript Rust Amazon Web Services (AWS) Remote Cape Town South Africa,138298,ZA
"Lead 20+ years Developer, back-end C# Hybrid Cape Town South Africa",58378,ZA
"Lead 31+ years Developer, front-end Delphi HTML/CSS JavaScript PHP MySQL Cape Town South Africa",37024,ZA
Lead 26+ years Engineering manager Bash/Shell (all shells) Go HTML/CSS JavaScript Amazon Web Services (AWS) PostgreSQL SQLite Hybrid Cape Town South Africa,8649,ZA
Lead 25+ years Other (please specify): Bash/Shell (all shells) C Delphi Go Digital Ocean MySQL PostgreSQL Remote Cape Town South Africa,74468,ZA
"Lead 32+ years Developer, full-stack Delphi SQL Cape Town South Africa",73171,ZA
Mid-Level 4+ years Scientist Ada C++ HTML/CSS Julia InfluxDB Redis Remote Cape Town South Africa,31915,ZA
Lead 20+ years Engineering manager HTML/CSS JavaScript Amazon Web Services (AWS) Microsoft Azure MongoDB MySQL Hybrid Cape Town South Africa,54054,ZA
"Lead 22+ years Developer, full-stack C# C++ HTML/CSS JavaScript Hybrid Cape Town South Africa",42553,ZA
"Junior 1+ years Developer, front-end C# C++ Dart HTML/CSS AWS Microsoft SQL Server MySQL Hybrid Cape Town South Africa",23415,ZA
"Senior 10+ years Developer, full-stack Kotlin TypeScript AWS PostgreSQL Redis Cape Town South Africa",73171,ZA
"Senior 8+ years Developer, full-stack Bash/Shell HTML/CSS JavaScript Python DigitalOcean Google Cloud MySQL PostgreSQL Cape Town South Africa",58537,ZA
"Senior executive (C-suite, VP, etc.) Bash/Shell (all shells) HTML/CSS JavaScript Python Amazon Web Services (AWS) Chocolatey BigQuery PostgreSQL Remote Cape Town South Africa",3846,ZA
Junior 1+ years Cloud infrastructure engineer Bash/Shell JavaScript SQL TypeScript AWS DynamoDB MongoDB Hybrid Cape Town South Africa,20488,ZA
"Lead 22+ years Developer, mobile C# Amazon Web Services (AWS) Google Cloud Dynamodb Firebase Realtime Database Remote Cape Town South Africa",68757,ZA
"Lead 18+ years Developer, full-stack Dart Delphi HTML/CSS Java Amazon Web Services (AWS) Firebase Cloud Firestore Couch DB Remote Cape Town South Africa",3457,ZA
"Lead 30+ years Developer, desktop or enterprise applications C# Delphi PowerShell SQL Firebird MariaDB Hybrid Cape Town South Africa",32432,ZA
Senior 10+ years Other (please specify): C# JavaScript SQL TypeScript Microsoft Azure Cosmos DB Dynamodb Hybrid Cape Town South Africa,57417,ZA
Junior 2+ years Research & Development role Bash/Shell (all shells) Go HTML/CSS TypeScript Amazon Web Services (AWS) MySQL Hybrid Cape Town South Africa,28723,ZA
Data engineer Bash/Shell (all shells) HTML/CSS Python SQL Amazon Web Services (AWS) Docker MySQL Redis Cape Town South Africa,36659,ZA
"Developer, back-end C# HTML/CSS JavaScript PowerShell Microsoft Azure MSBuild Microsoft SQL Server SQLite Remote Cape Town South Africa",29670,ZA
"Developer, full-stack Go HTML/CSS JavaScript Python Homebrew Microsoft Azure Microsoft SQL Server Hybrid Cape Town South Africa",109890,ZA
"Lead 42+ years Developer, full-stack C++ Delphi Remote Cape Town South Africa",49787,ZA
"Senior 10+ years Developer, full-stack C C# C++ Java Amazon Web Services (AWS) Digital Ocean Couch DB Elasticsearch Remote Cape Town South Africa",5106,ZA
Junior 2+ years Research & Development role C++ Go JavaScript PowerShell Hybrid Cape Town South Africa,40541,ZA
"Developer, full-stack Dart Java SQLite Hybrid Cape Town South Africa",15244,ZA
"Developer, front-end Bash/Shell (all shells) HTML/CSS JavaScript TypeScript Remote Cape Town South Africa",40748,ZA
"Mid-Level 3+ years Developer, desktop or enterprise applications C# Java JavaScript Python Firebase Google Cloud Cloud Firestore MySQL Cape Town South Africa",6341,ZA
Engineering manager C C# Python Cape Town South Africa,46154,ZA
Lead 23+ years Product manager Bash/Shell (all shells) HTML/CSS JavaScript PHP Google Cloud BigQuery MariaDB Hybrid Cape Town South Africa,103784,ZA
"Senior 7+ years Developer, full-stack C# JavaScript SQL Amazon Web Services (AWS) Microsoft Azure BigQuery Cosmos DB Hybrid Cape Town South Africa",54054,ZA
Lead 28+ years Data engineer Python SQL Microsoft SQL Server Remote Cape Town South Africa,25946,ZA
Senior 8+ years Research & Development role Bash/Shell (all shells) C# C++ HTML/CSS Cape Town South Africa,40255,ZA
"Lead 20+ years Developer, full-stack Bash/Shell (all shells) Dart JavaScript Python Amazon Web Services (AWS) Cloudflare Couch DB MongoDB Hybrid Cape Town South Africa",51064,ZA
"Developer, mobile Dart Java JavaScript Kotlin Amazon Web Services (AWS) Docker BigQuery Cloud Firestore Hybrid Cape Town South Africa",5495,ZA
"Lead 15+ years Developer, front-end HTML/CSS Java JavaScript PHP AWS MySQL PostgreSQL Cape Town South Africa",64537,ZA
"Lead 19+ years Developer, full-stack Bash/Shell Dart HTML/CSS JavaScript DigitalOcean Firebase Cloud Firestore MariaDB Cape Town South Africa",46829,ZA
"Senior 7+ years Developer, full-stack Bash/Shell (all shells) C Go HTML/CSS Digital Ocean Google Cloud PostgreSQL Redis Cape Town South Africa",13514,ZA
"Lead 12+ years Senior Executive (C-Suite, VP, etc.) Bash/Shell (all shells) HTML/CSS Kotlin SQL Amazon Web Services (AWS) Vercel PostgreSQL Remote Cape Town South Africa",64865,ZA
"Developer, full-stack C# HTML/CSS JavaScript PowerShell Microsoft Azure Yarn Microsoft SQL Server MongoDB Remote Cape Town South Africa",35714,ZA
"Lead 14+ years Developer, full-stack C# Dart HTML/CSS JavaScript Microsoft Azure MariaDB Microsoft Access Remote Cape Town South Africa",47872,ZA
"Architect, software or solutions C# HTML/CSS Java JavaScript Kubernetes Microsoft Azure Elasticsearch Microsoft SQL Server Hybrid Cape Town South Africa",82418,ZA
"Senior 6+ years Developer, full-stack C# HTML/CSS JavaScript SQL Microsoft Azure Microsoft SQL Server Redis Cape Town South Africa",43405,ZA
"Lead 15+ years Developer, full-stack C++ HTML/CSS JavaScript Rust PostgreSQL Redis Cape Town South Africa",115000,ZA
"Senior 6+ years Developer, front-end C# HTML/CSS Java JavaScript DigitalOcean Google Cloud Microsoft SQL Server MongoDB Hybrid Cape Town South Africa",29268,ZA
"Mid-Level 5+ years Developer, back-end Ruby SQL PostgreSQL Redis Remote Cape Town South Africa",63830,ZA
